Finglish	Persian
hala khobeh farsh nandakhtim tou ashpaz khaneh.	حالا خوبه فرش ننداختیم تو آشپزخونه
ta residim khaneh hodoude yek saat be bazi baghi mondeh boud.	تا رسیدیم خونه حدود یک ساعت به بازی باقی مونده بود
man ya shoma ham mitavanim baraye ham digar ham peyman shavim, che dar mohite kar bashim che dar biroun.	من و شما میتوانیم برای همدیگر همپیمان شویم، چه در محیط کار باشیم چه بیرون
pasho be jayeh in harf ha ye sari be oun ash bezan.	پاشو بجای این حرفا یه سری به اون اش بزن.
neveshte yebar digar bekhan.	نوشتي يک بار ديگه بخون
salam phibi tastial migam.	سلام فيبي . تسليت ميگم
kam kam adat kardam be faza va vaghti be khoudam umadam didam yek moh gozashte.	کم کم عادت کردم به فضا و وقتی به خودم اومدم دیدم یک ماه از دانشگاه گذشته
va kheili ha madar shoudand vaghti khoudeshan hanouz bache boudand.	و خیلیها مادر شدند وقتی خودشان هنوز بچه بودند
in harf ha ashena be nazar miresid.	این حرفها آشنا به نظر میرسید
vali ghatan tasmim ba toust.	ولي قطعا تصميم با توست
hata rouye tavajo he ma tasir migouzarad va meghdari az tamarkoz ma ra migirad.	حتی روی توجه ما تاثیر میگذارد و مقداری از قدرت مغز ما را میگیرد
poor az energyie mosbat boud.	پر از انرژی مثبت بود
va dar hali ke khounam be joush amadeh boud ba eeteraz goftam.	و در حالی که خونم به جوش امده بود با اعتراض گفتم
az aparteman khabari nashod?	از آپارتمان خبري نشد ؟
ajibeh in rouz ha hameh fough takhasoseshoun tou namak nashnasie.	عجيبه اينروزا همه فوق تخصصشون تو نمكـ نشناسيه
in zang ojagh gaz hast?	اين زنگ اجاق گاز هست؟
man ye jor haie asheghet shodam.	من يه جورايي عاشقت شدم
man dar sandalim frou raftam va bi sabraneh mountazer payan jalaseh boudam.	من در صندلیم فرو رفتم، و بیصبرانه منتظر پایان جلسه بودم
dars ha ra yekam radif kardam.	درسا رو یکم ردیف کردم
ertebate mon ra beham zadim.	ارتباطمون رو بهم زديم
vaghti hourouf seda dar ro touye figilish neveshtan tayp nemikounid.	وقتی حروف صدا دار رو توی فینگلیش نوشتن تایپ نمیکنید
vezarateh kharejeh amrica eghdam be moughabele ba in campain kard.	وزارت خارجه آمریکا اقدام به مقابله با این کمپین کرد
oh az oun dar vared nasho.	اوه از اون در وارد نشو
neshan arshad khodeshoun daryaft kardan.	نشان ارشد خودشون دریافت کردن
belakhareh ye rouz sobh cheshmam ro baz mikonam va az bidar shodanam lezat mibaram.	بالاخره یه روز صبح چشامو باز میکنم و از بیدار شدنم لذت میبرم
rouzi dar daftare vakili neshasteh boudam ke ba bozorg tarin saregh herfe ie ashna shodam.	1- روزی در دفتر یک وکیل نشسته بودم که با بزرگترین سارق حرفه ای آشنا شدم
touye ashpaz khuneh miz naboud?	تو آشپزخونه ميز نبود؟
avalin bari ke farghe dokhtar va pessar ro fahmidam bacheh boudam va ba dokhtare hamsayeh davam shod.	اولین باری که فرق دختر وپسرو فهمیدم بچه بودم با دختر همسایه دعوام شد
yad begirin bebinin chetori az pesar hash harf mizaneh.	یاد بگیرین، ببینین چجوری از پسرش حرف می زنه.
mishe komakesh konin bere khaneh ash.	میشه کمکش کنیم بره خونه اش؟
hala mikhaham dastani darbureye eshgh begouyam.	حالا میخواهم داستانی درباره عشق بگویم
khoda ya shokrat.	خدایا شکرت
chizi nist baba alaki sholoughesh mikonid bacheh boudim nadouni kardim.	چیزی نیست بابا شما هم شلوغش می کنین. بچه بودیم نادونی کردیم.
man donbal yek ketab hastam.	من دنبال يه کتاب هستم
oun yek motakhaseh nabeghe hast.	اون يک متخصص نابغه هست
man faghat mikhastam begouyam man.	من فقط ميخواستم بگم من
mageh mishe na radio gofte bash na rouznameh ha.	مگه می شه نه رادیو گفته باشه نه روزنامه ها
yek cake panir digar amadeh.	يک کيک پنير ديگه اومده
ozr khahi pazirofteh mishe.	عذر خواهي پذيرفته ميشه
kari ke goftam ra kardi?	کاري که گفتم رو کردي؟
pesarak be khaharash negah mikard va labkhand mizad.	پسرک به خواهرش نگاه می کرد و لبخند می زد
berin kenar baba piri darad meayad.	برین کنار بابا پیری داره میاد
raftim biron va tu khiyaboun jashn bood.	رفتیم بیرون و تو خیابون جشن بود!
oon goft barayash hame chiz  dar mord e in noghat tamas bood.	او گفت برایش همه چیز در مورد این نقاط تماس بود
niloufar geryan kheily khoube.	نیلوفر گریان:خیلی خوبه
ghabl az khab 5 daghighe ham digar ra mohkam baghal konid va baadesh vel konid bekhabid digar.	قبل از خواب ۵ دقیقه همدیگرو محکم بغل کنید و بعدش ول کنید بخوابید دیگه
ghodrat be shekl e besabeghei be samt e javanan sarazir mishavad be dalil va bastegi e ma be DQ.	قدرت، به شکل بیسابقهای بسوی جوانها سرازیر میشود به دلیل افزایش وابستگی ما به DQ : هوش دیجیتال
kheily mekham daavatet konam.	خيلي مي خوام دعوتت کنم
peasar ha tou stadium footbal moghee hamle va mogheeat khatarnak e teameshoon.	پسرا تو استاديوم فوتبال موقع حمله و موقعيت خطرناك تيمشون
baazi afrad aan ra rok goei radikal minamand jaei ke shakhsan ahameiat midahid amaa mostaghim be chalesh ham mikeshid.	" بعضی افراد آن را ""رکگویی رادیکال"" مینامند، جاییکه شخصا اهمیت میدهید، اما مستقیم به چالش هم میکشید"
be hamin dalil vey ra ghorbani nakardand va azad shod.	به همین دلیل وی را قربانی نکردند و آزاد شد
midanam che kaar micard.	.مي دونم چه کار مي کرد
amaa az baazi jahat kheyr.	اما از برخی جهات خیر
kar e ma be onvan e ham peyman in ast ke riz khosounat ha ra beshnasim va anjameshan nadehim.	کار ما به عنوان همپیمان این است که ریزخشونتها را بشناسیم و انجامشان ندهیم
rou behet dadim to digar por rou nasho, zarbe haye mohkami be dar mizanand.	رو بهت دادیم تو دیگه پررو نشو. ضربه های محکمی به در می زند
nime ye aval tamam shod.	نیمه ی اول تموم شد
ye modat ba khahar mohsen telephoni ashana shode boodam va ou ham az rabeteh va alaghe ye ma khbar dasht.	یه مدت با خواهر محسن هم تلفنی اشنا شده بودم و اونم از رابطه و علاقه ما خبر داشت
in dastan e man bar migardad be chnda sal e pish.	این داستان من برمیگرده به چند سال پیش
va amaa.	و اما
digar tahamol e harf hayat ra nadram, behet sabet mikonam raeis in khneh kist.	دیگه تحمل حرفاتو ندارم. بهت ثابت می کنم رئیس این خونه کیه.
chiz ha ye digary ham boodand.	چيزهاي ديگه اي هم بودن
hala ta bebina che mishavad.	حالا تا ببينيم چي ميشه
hame ye rouz ra kaar mikardam.	همه روز رو کار مي کردم
ta hala tourisr az azarbaijan nadide boodam.	تا حالا توریست از آذربایجان ندیده بودم
are az haraji kharidamesh.	.آره. از حراجي خريدمش
salam shila, sedayat yek joury shode ast.	سلام شیلا صدات یه جوری شده
nemikhahim digar bishtar az in.	نمی خوایم دیگه بیشتر از این
man bayad to ra beboosam.	- من بايد تو رو ببوسم
ma shady e to ra nadozdideim.	ما شادي تو رو ندزديديم
in vary miravad samt e raste,oon vary miravad samt e chap.	این وری میره سمت راست،اون وری میره سمت چپ
zahremar chera mikhndi? har kasi hasti bash, azat nemitarsam.	زهرمار. چرا می خندی؟ هر کسی هستی باش ازت نمی ترسم. بگو چطور اومدی اینجا؟
manam goftam mamnoon.	منم گفتم ممنون
bad migam?	بدمیگم؟
davar hodood e panj daghigheh faght ezafeh gereft.	داور حدود پنج دقیقه فقط اضافه گرفت
jaleb ast ke mard hayeshan chesm azashoon bar nemidashtand, haman mard haei ke roozi hezar bar az in zan ha doreshan faravan ast.	مثلا زنهای بد حجاب رو با حالتهای مختلف میذارن تا واکنشهای آدمهارو ببینن،جالبه که مرداشون چشم ازشون برنمیداشتن،همون مردایی که روزی هزاربار ازاین زنها تو اطرافشون فراوونه
madar bozorg miguyad: in digar jayeshan ra balad ast, miayad hameshan ra mibarad.	مادربزرگ می گه این دیگه جاشو یاد گرفته، میاد همشونو می بره
hala ma montazer e do bazi e baademan ba spania va porteghal hastim va omid be sooud darim.	حالا منتظر دو بازی بعدمون با اسپانیا و پرتغالیم و امید به صعود داریم
sherkat haye doust yabi siasat ha ye khod ra dar sath e jahani tahir dadand baad az in ke shekayat e khod ra erae kardim.	شرکتهای دوستیابی سیاستهای خود را در سطح جهانی تغییر دادهاند پس از اینکه یک شکایت قانونی ارائه کردیم
man be harf hayeshan goush mikardam va fekr mikardam.	من به حرفهایشان گوش میکردم و فکر میکردم
baazi dars ra edame midahand vali besiari vard e bazar e kaar mishavand.	بعضی درس را ادامه میدهند، اما بسیاری وارد نیروی کار میشوند
bazi ha bedoun e tazeen boudand, vali bazi ha ham tarh ha ye zarifi dashtand.	بعضی ها بدون تزیین بودند،اما بعضی ها هم طرحهای ظریفی داشتند
man az bist o shesh ta panjah o do salegi kar afarin e hotel ha ye kouchak boudeh am.	من از ۲۶ تا ۵۲ سالگی کارآفرین هتلهای کوچک بودهام،
ta las ve gas ba hash be ravim.	تا لاس وگاس باهاش بريم
fekr kardam rabetamoun mordeh aast.	.فکر کردم رابطمون مرده
amalkard e behtary khahid dasht va garm va shayesteh dide misahvid.	عملکرد بهتری خواهید داشت، و گرم و شایسته دیده میشوید
man az to soal mikonam va.	من از تو سوال مي کنم و
eghragh nemikonam.	اغراق نمیکنم
oonaei ke migouyand pool cheshm e adam ra koor mikonad chizi rajeb e hormon nemidanand.	اونایی که میگن پول چشم آدمو کور میکنه چیزی دربارهی هورمون نمیدونند
chi mian az khatere ye raftanesh ke tou shahr harf bezanid?	کي مياد از خاطره رفتنش به پارک شهر حرف بزنه ؟
in kheily baese narahati ye.	اين خيلي باعث ناراحتيه
in tor fekr mikoni?	اينطور فکر مي کني ؟ -
pas bedoun e cafein mikhoram.	پس بدون کافئين مي خورم
rafti ye niaat ham bokon madar to javani.	رفتی یه نیت هم بکن مادر، تو جوونی.
ama ghabl az in ke az aan ha na omid shavim bayad begoueim aan ha gharar nist in moshkel ra hal konand ama ghegounei aan ra neshan midahand.	اما قبل از این که از آنها نومید شویم، باید بگویم، آنها قرار نیست این مشکلات را حل کنند، اما چگونگیاش را نشان میدهند
in mitavand kheili mohem bashad, be vigheh vaghti mogheiat e amrg vazendegi bashad.	این میتواند خیلی مهم باشد، بویژه وقتی مساله موقعیتهای مرگ و زندگی پیش میآید
inam chart e jalase ye jomee.	اينم چارت جلسه ي جمعه
